cement,slag,flyash,superplasticizer,coarseaggregate,fineaggregate,csMPa,boxcox_age
540.0,0.0,0.0,2.5,1040.0,676.0,79.99,3.619520424593887
540.0,0.0,0.0,2.5,1055.0,676.0,61.89,3.619520424593887
332.5,142.5,0.0,0.0,932.0,594.0,40.27,6.4411532071317215
332.5,142.5,0.0,0.0,932.0,594.0,41.05,6.840673565192089
198.6,132.4,0.0,0.0,978.4,825.5,44.3,6.822265360074817
266.0,114.0,0.0,0.0,932.0,670.0,47.03,5.034165871542133
380.0,95.0,0.0,0.0,932.0,594.0,43.7,6.840673565192089
380.0,95.0,0.0,0.0,932.0,594.0,36.45,3.619520424593887
266.0,114.0,0.0,0.0,932.0,670.0,45.85,3.619520424593887
475.0,0.0,0.0,0.0,932.0,594.0,39.29,3.619520424593887
198.6,132.4,0.0,0.0,978.4,825.5,38.07,5.034165871542133
198.6,132.4,0.0,0.0,978.4,825.5,28.02,3.619520424593887
427.5,47.5,0.0,0.0,932.0,594.0,43.01,6.4411532071317215
190.0,190.0,0.0,0.0,932.0,670.0,42.33,5.034165871542133
304.0,76.0,0.0,0.0,932.0,670.0,47.81,3.619520424593887
380.0,0.0,0.0,0.0,932.0,670.0,52.91,5.034165871542133
139.6,209.4,0.0,0.0,1047.0,806.9,39.36,5.034165871542133
342.0,38.0,0.0,0.0,932.0,670.0,56.14,6.840673565192089
380.0,95.0,0.0,0.0,932.0,594.0,40.56,5.034165871542133
475.0,0.0,0.0,0.0,932.0,594.0,42.62,5.913041856405525
427.5,47.5,0.0,0.0,932.0,594.0,41.84,5.913041856405525
139.6,209.4,0.0,0.0,1047.0,806.9,28.24,3.619520424593887
139.6,209.4,0.0,0.0,1047.0,806.9,8.06,1.1287049591623788
139.6,209.4,0.0,0.0,1047.0,806.9,44.21,5.913041856405525
380.0,0.0,0.0,0.0,932.0,670.0,52.52,6.840673565192089
380.0,0.0,0.0,0.0,932.0,670.0,53.3,6.4411532071317215
380.0,95.0,0.0,0.0,932.0,594.0,41.15,6.4411532071317215
342.0,38.0,0.0,0.0,932.0,670.0,52.12,5.913041856405525
427.5,47.5,0.0,0.0,932.0,594.0,37.43,3.619520424593887
475.0,0.0,0.0,0.0,932.0,594.0,38.6,2.0416515282410117
304.0,76.0,0.0,0.0,932.0,670.0,55.26,6.840673565192089
266.0,114.0,0.0,0.0,932.0,670.0,52.91,6.840673565192089
